"filename", "language", "JavaScript", "XML", "JSON", "Markdown", "comment", "blank", "total"
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/README.md", "Markdown", 0, 0, 0, 24, 0, 15, 39
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/app.js", "JavaScript", 38, 0, 0, 0, 11, 8, 57
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/appConfig.js", "JavaScript", 7, 0, 0, 0, 0, 1, 8
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/controllers/addressController.js", "JavaScript", 112, 0, 0, 0, 2, 24, 138
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/controllers/authController.js", "JavaScript", 242, 0, 0, 0, 0, 89, 331
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/controllers/cartController.js", "JavaScript", 120, 0, 0, 0, 0, 40, 160
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/controllers/creditCardController.js", "JavaScript", 105, 0, 0, 0, 2, 24, 131
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/controllers/errorController.js", "JavaScript", 12, 0, 0, 0, 0, 1, 13
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/controllers/handlerFactory.js", "JavaScript", 78, 0, 0, 0, 0, 22, 100
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/controllers/orderController.js", "JavaScript", 244, 0, 0, 0, 7, 78, 329
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/controllers/productController.js", "JavaScript", 133, 0, 0, 0, 0, 45, 178
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/controllers/reviewController.js", "JavaScript", 149, 0, 0, 0, 0, 39, 188
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/controllers/shippingCostController.js", "JavaScript", 17, 0, 0, 0, 0, 7, 24
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/controllers/userController.js", "JavaScript", 62, 0, 0, 0, 0, 22, 84
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/data/deleteData.js", "JavaScript", 33, 0, 0, 0, 0, 7, 40
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/data/getProductName.js", "JavaScript", 25, 0, 0, 0, 0, 7, 32
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/data/importProductData.js", "JavaScript", 224, 0, 0, 0, 0, 12, 236
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/data/importShippingCostData.js", "JavaScript", 77, 0, 0, 0, 0, 11, 88
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/models/addressModel.js", "JavaScript", 55, 0, 0, 0, 0, 3, 58
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/models/cartModel.js", "JavaScript", 27, 0, 0, 0, 0, 5, 32
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/models/creditCardModel.js", "JavaScript", 45, 0, 0, 0, 0, 4, 49
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/models/orderItemModel.js", "JavaScript", 30, 0, 0, 0, 0, 7, 37
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/models/orderModel.js", "JavaScript", 80, 0, 0, 0, 0, 8, 88
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/models/productModel.js", "JavaScript", 68, 0, 0, 0, 0, 7, 75
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/models/reviewModel.js", "JavaScript", 69, 0, 0, 0, 0, 15, 84
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/models/shippingCostModel.js", "JavaScript", 31, 0, 0, 0, 0, 3, 34
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/models/userModel.js", "JavaScript", 110, 0, 0, 0, 4, 24, 138
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/package-lock.json", "JSON", 0, 0, 2539, 0, 0, 1, 2540
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/package.json", "JSON", 0, 0, 39, 0, 0, 1, 40
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/readme_assets/er-diagram.svg", "XML", 0, 3, 0, 0, 1, 0, 4
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/routes/addressRoutes.js", "JavaScript", 18, 0, 0, 0, 0, 7, 25
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/routes/authRoutes.js", "JavaScript", 13, 0, 0, 0, 0, 4, 17
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/routes/cartRoutes.js", "JavaScript", 16, 0, 0, 0, 0, 5, 21
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/routes/creditCardRoutes.js", "JavaScript", 16, 0, 0, 0, 0, 6, 22
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/routes/orderRoutes.js", "JavaScript", 15, 0, 0, 0, 0, 5, 20
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/routes/productRoutes.js", "JavaScript", 19, 0, 0, 0, 0, 10, 29
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/routes/reviewRoutes.js", "JavaScript", 15, 0, 0, 0, 0, 5, 20
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/routes/shippingCostRoutes.js", "JavaScript", 9, 0, 0, 0, 0, 4, 13
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/routes/userRoutes.js", "JavaScript", 17, 0, 0, 0, 1, 7, 25
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/server.js", "JavaScript", 14, 0, 0, 0, 4, 6, 24
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/utils/appError.js", "JavaScript", 10, 0, 0, 0, 0, 3, 13
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/utils/catchAsync.js", "JavaScript", 5, 0, 0, 0, 0, 0, 5
"/Users/david/Development/Personal project/Amazon Clone/amazon-clone-backend/utils/sendEmail.js", "JavaScript", 20, 0, 0, 0, 0, 4, 24
"Total", "-", 2380, 3, 2578, 24, 32, 596, 5613